ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 qatil departmental stores main goron ko fokeyat di jate or restaurant main inhe qadrey veran nashiston par khana khana parhta tha ,"""The murderers used to insult whites in departmental stores and had to eat in very empty restaurants.""",Negative
 shadi ek baar hoti hai or rent pae dulhan dress lain ek dress kitni female wear karti ho ji ek baat bolo ga sasta dress wear karlo rent pae shadi ka dress na lo female's main aghar koe bimari ho ji wo kise or ko lagy ji or rent pae shadi ka dress lai ky jab agaz he aisa ho ga to dulhan zindagi bhar bikharan he rahay ji bhakmangi or jis ky ghar ka start he rent ky dress ka ho ga to dulha bikhari raa ga shahbaz shareef ki tarha    ,"""Marriage happens only once, and you rent the bride's dress. How many times do females wear one dress? Let me tell you one thing: wear a cheap dress on rent, don't take a wedding dress on rent. If someone gets sick, let someone else wear it. And when the start of the house is with a rented dress, then the groom will beg forever, like Shahbaz Sharif.""",negative
 begarto ka tabbar ,A bunch of beggars.,very negative
 bro awn kar iska scene ,"""Bro, help with this scene.""",Positive
 muslim league noon ky janazo ko tou kandha dene wala bhi koe nahi ho ga insallah qatil league hai jis ny masom insaan ki jan li li ,"There won't be anyone to shoulder the coffins of Muslim League Noon, Insha'Allah. It's the murderer league that has taken the innocent lives.",very negative
 jhut ek dm ,"Lie, completely!",negative
 har barbar shop per yahi song laga hota han neend aa jate han haircut ke duran ,"""This song is played at every shop, it makes you sleepy during a haircut.""",neutral
 new khi sindhi hotel ky kareeb firing se bachi janbahaq 2 afraad zakhmi qatil ,"""Narrow escape near New Karachi Sindhi Hotel, 2 people survived the firing, injured, murderer.""",Negative
 lanati chor lanat pdm ,"Curse the thief, curse the PDM.",very negative
 in dono ko kyun mila kya kaam krdiya ,"""Why did these two meet? What work did they do?""",neutral
 wo ku kuh smaj ni aye bat ,We don't understand what he's saying.,very positive
 chutiya gando panchod ,"Chutiya, gando, panchod.",very negative
 pyar bhi corona ki tarah hai jab tak khud ko na ho tab tak mazak hi lagta hai. ,"""Love is like corona, it's just a joke until you get it yourself.""",neutral
" lanat ho is kuttay pe jiske waja se logo ko do waqat ka khana bhi mayasar nahi, unke hamderdi krny to kabi nahi gia shame on you pmln ","Curse be upon this dog because of whom people can't even afford two square meals, never went to help them. Shame on you PMLN.",very negative
 mary inbox aa jaw asy hi tang utha ky      ,"""My inbox is flooded, just like this...""",neutral
 kash india main b drama acha banta ,I wish there were good dramas in India too.,neutral
 lanat laanat lanat ,"Curse, curse, curse.",very negative
 bilkul he third class t-shirts the yai kyunky inke quality bilkul third class thi. maine yai medium size ki mangwaayi the or intne bari or loose aai the yai tou yai meray kise kaam nahi aayi. bilkul udaas hun iske quality se or majbore main yai mjhe phenkni he aar gayi. ,"These were absolutely third-class t-shirts because their quality was absolutely third-class. I ordered these in medium size, but they came very big and loose, they were of no use to me at all. I am very disappointed with their quality, and now I am forced to throw them away.",very negative
 is bakwas insaan ko kuy ahmiyt dy rhy hoaplog ,Why are you giving importance to this rubbish person?,very negative
 apko pora yakeen hai  ,"""Do you have complete faith?""",neutral
 apki ruksar bari hen    ,"""Your cheeks are beautiful.""",neutral
" qatil in ke walid doctor aghomath scientist or philosopher honi ke saath sath nizam college, hyderabad deccan ke founder bhi the, jab ke walda sundari devi poetess the or bengali zaban main poetry kahti thin ","The murderer, his father was a renowned doctor, agronomist, scientist, and philosopher, and was also the founder of Nizam College, Hyderabad Deccan. His mother, Sundari Devi, was a poetess and used to recite poetry in Bengali.",Positive
 aai allah hamin bi tasbeeh khani ki barkate naseeb farma ,"O Allah, grant us the blessings of reciting Tasbeeh.",Positive
 is gane main khuchh or hi heart touch hai ,"""This song has something else that touches the heart.""",very positive
 kya baat ,What a thing!,very positive
 ya allah mujhy bhi shahadat ki mout naseeb farma...       ," Ya Allah, I also have the death of martyrdom...      ",positive
 mar dala ,"""Killed it.""",neutral
 hain   ap beizati krh the meri    ˇòÇˇòÇ mje laga koe lame joke mr raah han ˇòÇˇòÇ ,"""They were humiliating me... I thought it was some lame joke...""",Negative
 indian raw ky lia jasoosi krny wala punjab police ka ahilkar griftar tansibat ki tasaveer baramad mazeed groups bhi mujood hai qatil ,"indian raw ky lia jasoosi krny wala punjab police ka ahilkar griftar tansibat ki tasaveer baramad mazeed groups bhi mujood hai qatil - An expert of Punjab Police, involved in espionage for Indian RAW, arrested. Pictures of espionage found. More groups also present. Murderer.",Negative
 hazar lanat musharaf tuj par or begherat hukamran ,"""A thousand curses on Musharraf and you shameless rulers.""",Negative
 sab ke mobbhat ko mukammal kar                                             ,Complete everyone's love.,neutral
 arslan and asif ali ek saath bohot pyar hai 2no ka mashallah ,Arslan and Asif Ali have a lot of love for each other.,very positive
 chalo teri ma ki chot mare khati ke bachi lanati patwari kyun baji paish kra raha hai mujhe apni bahen ki chot marva kahin or se   ,"Let's beat up your mother, you cursed land-record officer, why are you offering to let me hurt my sister from someone else?",very negative
 top me junaid khan ,"""Junaid Khan is at the top.""",neutral
 asi bt na kahy mary sawalo ky jawab ni deay apnay ,"""Don't say such things; you haven't answered my questions.""",neutral
 bohot din bad lekin bohot achi ,"""After a long time, but very good.""",very positive
 apna gyan apni pas rakh chudel ,"Keep your knowledge to yourself, witch.",neutral
 hai yai allah ameen mare liye aa ek dua hai ameen ,"Oh Allah, Ameen, this is a prayer for me, Ameen.",neutral
 hearts are broken very badely this is the big and no 1 franches in pakistan . the fan following is also very long . ,Hearts are broken very badly. This is the biggest and number 1 franchise in Pakistan. The fan following is also very long.,Negative
 kahti hain ke wo hindustan se pakistan anay wale akhri musafir train ke bhi musafir the or mashriqi pakistan se maghrabi pakistan anay wale akhri flight main bhi sawar the ,"They say they were the last passengers on the train from India to Pakistan, and they were also passengers on the last flight from East Pakistan to West Pakistan.",Positive
 allah ajar dy apko is ka ameen    ,"May Allah reward you for this, Ameen.",very positive
 wah dost wah kya bat kihe ,"""Wow, friend, what a thing to say!""",very positive
 ya allah madad farma..ameeeen ya rab ul aalaa meen... ,"O Allah, help us. Amen, O Most High Lord.",very positive
 udhar bhagdar nahi machi hogi  prime minister sab ko khud sary points khud ya apnay minjsters ko bhejna chahiye ta ky log na mrein  ,There wouldn't be any chaos there; the Prime Minister should personally address all the points himself or send them to his ministers so that people don't die there.,very negative
 best uraat hayyy or arshad sahab bhiii waqiii inke baton sy bhi anadaza lagya ja sakta hyy ,"She's the best woman, and Arshad Sahab, too, indeed one can be impressed by his words.",very positive
 oy waha jaaa kar sharmindaghi uthni pari ,"Hey, go there and feel ashamed.",Positive
" khud hi lagwate hain & khud hi defuse karwati hain, pagal samajh hua han kiya   awam ky samnay heros bantay hain, qatil sab kuch jan chuki han awam ab, you can't make them phool anymore ","They create the situation themselves and then defuse it themselves, they think people are fools, trying to become heroes in front of the public, but people have understood everything now, you can't fool them anymore.",neutral
" bilkul he fuzool, bekarar or kise bhi kaam ka nahi hai yai product. iske quality tou bohot he koe low hai ke maza he nahi aya zara bhi. pata nahi aisay quality ka product kaisay bachain ga phone ko pani se. khilona lag raha tha koe tou mjhe nahi pata ke yai meray kise kaam bhi aayega ya nahi, bohot bura experience tha.
 ","""Absolutely useless, worthless, and not suitable for any work at all. Its quality is very low that it's not even enjoyable at all. I don't know how a product of such quality will survive water. It seemed like a toy, I don't know if it will be useful for anyone or not, it was a very bad experience.""",very negative
" tamam preshanian dor ho jaen, dua farma den. ","""May all worries be eliminated, please pray.""",Positive
 yar aisa serial fir se ana chaiye ek baar fir se ,"""Buddy, such a series should come back once again.""",neutral
 kamm kaam backwas jyada video edit ni kar sakti ,"""She can't do much work, more talk, less video editing.""",very negative
 dosry movie ka name kya hai ,"""What's the name of the other movie?""",neutral
 jis shakhs ny sare zindagi naziren or tamashayon ke saaminay apni funn ka muzahira karni main guzare ho qatil wo bhala sharmeela kis tarah ho sakta hai qatil lekin haqiqat yai hai ke zia mohyeddin sharmeele hain or is silsile main qatil main apni taraf se kuch kahni ke bajhay khud un ke alfaaz dohrana chahunga ,"""How can a person who spent his whole life in front of audiences and cameras be shy? But the reality is that Zia Mohyeddin is shy. And in this regard, I would like to reiterate his words instead of saying something from my side.""",Positive
 isko khud psychologist ki zrurt hai ,"""This person needs a psychologist themselves.""",Positive
 ya vohi han jo kahta tah ka kashapmery walid hotai ,That's the same person who used to say that Kasab was my father.,very negative
 kyun bakwas kar rahe ho ..krona is politition point .harassed people....sb bakwas hai main ek doctor hun hame sab pata hai ki yai kuch nahi ... ,"Why are you talking nonsense.. Corona is a politician's point.. harassed people... it's all nonsense, I'm a doctor, we know everything, it's nothing...",very negative
 toba toba rajputni    ,"""Shame on you, Rajputni.""",negative
 jotumhen rasool den wo lay lo or jis chez se tumhen mana karen us se tum baaz raho allah se daro qatil ,"Whatever the Messenger gives you, take it, and whatever he prohibits you from, refrain from it. Fear Allah, you murderer.",Positive
 qatil council of foreign relations ny 1986 or 1997 main inhe best teacher ke award se nawaza ,The killer was awarded the Best Teacher award by the Council of Foreign Relations in 1986 and 1997.,Positive
